# object_id, ra, dec, cosmos_hsc_id, image_cat_id
43158464205193120,150.43585635209661,2.4468727151584981,1176,1088
43158464205187432,150.44913674263066,2.3684861815230285,1143,1052
43158743378059304,150.08031621337298,2.5393653302341903,2177,2089
43158872227076120,149.82904002898883,2.1740417468840709,2572,2528
43158721903219848,150.00836679374061,1.6242303929681443,1835,1820
43158726198186000,150.06927427004342,1.7830108866913683,1901,1894
43158610234069952,150.25438627630277,2.7042365901658441,1760,1737
43153658136777184,149.49775872911189,2.5450602254385437,168,80
43158876522050360,149.86984478997996,2.4429387412782653,2667,2633
43158996781134696,149.63896977209626,1.7507898915429232,2910,2904
43158880817018344,149.89779821237769,2.6500077524338241,2749,2725
43158185032308888,150.77080818076740,2.1726016376373884,331,261
43158739083086992,150.08771518999762,2.3249617223481303,2086,2867
43158867932111432,149.79822420681384,2.0330668553171729,2504,2453
43158322471268392,150.67404502618601,2.2711153826705601,651,616
43158721903221600,150.09951099433897,1.6533427781330694,1850,1837
43158605939108304,150.23080260827862,2.5781694826489496,1715,1687
43158859342174592,149.91245606607055,1.6193320549629449,2347,2278
43159142810021840,149.50717211020765,2.0868121196689646,3343,3272
43158743378058568,150.14841842508170,2.5245157638582469,2171,2083
43159013960999304,149.67520914668012,2.4238595790898367,3151,3059
43158721903221696,150.03510354193267,1.6545265395308959,1851,1838
43158721903221080,150.06629727439361,1.6476299587987979,1846,1832
43158734788127104,150.05276017120892,2.2081768122843521,2046,2423
43158721903221120,150.03263219474090,1.6482093542451912,1847,1833
43158885111982384,149.86458219597677,2.7888680503466508,2814,2797
43158176442377536,150.75946748676790,1.8362579309116505,284,208
43158464205195240,150.43066425136831,2.4725886835520186,1188,1102
43158588759237952,150.25327042635686,1.8324024667201639,1438,1380
43158739083087056,150.05736883669672,2.3269270459653408,2088,2890
43158172147412248,150.78639671592103,1.6977709553034708,269,192
43158876522050456,149.91048224048427,2.4466831977590600,2668,2635
43158601644143520,150.33241590962268,2.4656364282306682,1668,1635
43158721903222384,150.11585820011877,1.6693704302617780,1856,1843
43158743378060592,150.11372244983298,2.5570602365295718,2182,2095
43158588759244000,150.25831100316918,1.9227311908784848,1461,1405
43158743378058720,150.09169951989213,2.5259396726309484,2172,2084
43158747673032680,150.05107986653226,2.8196261830758802,2316,2244
43158859342178704,149.83367139011082,1.6872833882455482,2372,2306
43158859342183104,149.89422003373718,1.7615000815347293,2402,2340
43158743378061432,150.14227203641738,2.5650844732565896,2187,2100
43153658136777752,149.46076489765878,2.5543027737927719,172,84
43153653841811664,149.48220261527462,2.3870139609725745,113,19
43158730493160848,150.14487067921425,2.0763319781883558,2011,2035
43158322471261584,150.56525236509654,2.1661504808320835,606,566
43158726198185840,150.01440475315988,1.7809671194318923,1900,1893
43153658136777184,149.49790857130046,2.5432094428354577,167,78
43158464205188032,150.36965167577316,2.3728073711236117,1145,1054
43159018255963392,149.76097588855015,2.5462674715085374,3166,3075
43158593054209256,150.24531367470132,2.0602611241303568,1511,1461
43158739083092920,150.06796069953666,2.4125566532556006,2112,2018
43158743378065520,150.02823049479230,2.6206002952941265,2211,2128
43158605939115488,150.19188228775988,2.6845262149737681,1750,1726
43158605939088408,150.21804455577251,2.6267900520991803,1692,1661
43158610234075824,150.25373189556802,2.7912591225854206,1789,1769
43158593054207800,150.15671783381291,2.0445946065930389,1500,1449
43158743378061704,150.11766959505670,2.5712538641343152,2192,2106
43158996781129016,149.61455924346802,1.6480693223560492,2879,2869
43159001076102576,149.60051076615954,1.9060273962531209,2975,2975
